0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,label
0,0,-0.062690546,-0.065163026,-0.104519536,-0.132865692,-0.109946362,-0.196936296,-0.101148779,-0.243144799,-0.169637951,-0.128443781,-0.18790961,-0.227311303,-0.155161787,-0.270425645,-0.123793728,-0.294402273,-0.132667721,-0.111648077,-0.092458632,-0.239128391,-0.051790284,-0.303448929,-0.028379539,-0.347029304,-0.080773023,-0.102084426,-0.023217738,-0.203504432,-0.008610715,-0.177886735,-0.016790882,-0.146023961,-0.02558667,-0.100756258,0.018114921,-0.182331314,0.026181937,-0.159504282,0.014955683,-0.129686651,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,0.005111967,-0.086973774,-0.013632698,-0.164832684,-0.00060907,-0.225116068,0.030584179,-0.277023932,-0.116882477,-0.17011036,-0.130852678,-0.237286208,-0.07096225,-0.264673633,-0.013562975,-0.269793877,-0.129732731,-0.143066382,-0.166045912,-0.22296561,-0.100035433,-0.247927311,-0.044399347,-0.244083566,-0.136730173,-0.10707249,-0.178865681,-0.178333257,-0.118434186,-0.201231388,-0.069879623,-0.195151869,-0.138458305,-0.065885626,-0.180302824,-0.110937563,-0.149733888,-0.122175788,-0.12157694,-0.114480344,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,0.01077633,-0.094665819,-0.009219516,-0.177871796,-0.007636674,-0.24242602,0.009991486,-0.299851438,-0.150279457,-0.174009033,-0.122824979,-0.251034605,-0.067344019,-0.27751156,-0.021893028,-0.28600828,-0.16661318,-0.154558556,-0.125890377,-0.246339285,-0.06427419,-0.260134182,-0.025696532,-0.258822988,-0.167018383,-0.128512391,-0.096048249,-0.202591675,-0.046321056,-0.166716866,-0.03299755,-0.130603899,-0.152081856,-0.103022563,-0.089305148,-0.164285287,-0.054768602,-0.138732437,-0.052346015,-0.10711768,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,0.0006175,-0.113077358,-0.018169865,-0.197781158,-0.004369055,-0.263045395,0.020851664,-0.322355486,-0.171390622,-0.168983599,-0.142549575,-0.280570162,-0.079853851,-0.302132957,-0.035050393,-0.299161143,-0.166998593,-0.149399887,-0.093020105,-0.248134966,-0.047621003,-0.220019884,-0.04157527,-0.186036067,-0.14209429,-0.130060071,-0.052388583,-0.209946521,-0.022094074,-0.168852538,-0.02807149,-0.130759282,-0.102962598,-0.116112133,-0.031164583,-0.175659574,-0.010305883,-0.145087312,-0.019390745,-0.114649423,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,-0.070045403,-0.054898784,-0.119529492,-0.127238491,-0.122970237,-0.196171027,-0.106069664,-0.240434659,-0.180371226,-0.122704491,-0.170769667,-0.239543235,-0.119573581,-0.259494692,-0.087616748,-0.260350771,-0.132896769,-0.11287938,-0.087605564,-0.253587237,-0.04192974,-0.313449209,-0.018995251,-0.35578746,-0.073982554,-0.106807301,-0.014965051,-0.216718329,0.003080929,-0.186620731,-0.003773869,-0.150220068,-0.013979148,-0.107652246,0.026985515,-0.192064006,0.036005324,-0.165983474,0.026684202,-0.133875575,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,-0.033257385,-0.119490043,-0.068507907,-0.204073426,-0.056338272,-0.275509012,-0.029526139,-0.334366214,-0.219517585,-0.13589248,-0.218609774,-0.249762976,-0.16371278,-0.264123921,-0.126643152,-0.24764844,-0.193933865,-0.104295471,-0.14270244,-0.22368287,-0.095725481,-0.204404036,-0.093118393,-0.168380589,-0.146411605,-0.082658104,-0.087722913,-0.184861443,-0.055784364,-0.161773675,-0.061581699,-0.129022718,-0.092615614,-0.074816549,-0.053044896,-0.14853562,-0.034605525,-0.130032216,-0.040915118,-0.101105404,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,-0.003323098,-0.114198055,-0.030585024,-0.193558483,-0.028516673,-0.254113781,-0.015633449,-0.310886824,-0.177977989,-0.168296275,-0.190126845,-0.248904601,-0.132212971,-0.275358344,-0.083575109,-0.276535689,-0.182854515,-0.141928317,-0.14143225,-0.233859519,-0.081914845,-0.227005022,-0.065020651,-0.207760062,-0.170162549,-0.115530375,-0.096546228,-0.187863292,-0.051502049,-0.155906934,-0.052620376,-0.122797924,-0.143691544,-0.094130997,-0.081189452,-0.146611,-0.049596951,-0.120549865,-0.055552254,-0.090010891,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,0.01704786,-0.08703562,-0.004479713,-0.172963712,-0.015737819,-0.235501147,-0.00691921,-0.293060784,-0.093626397,-0.191697066,-0.093377995,-0.261554501,-0.057428131,-0.288830682,-0.023697936,-0.295844278,-0.119604152,-0.17764161,-0.121512219,-0.257718302,-0.072820376,-0.268848096,-0.037061201,-0.265615257,-0.136232826,-0.154707423,-0.087226812,-0.205366285,-0.043911244,-0.160919972,-0.03535885,-0.122588179,-0.14450768,-0.127838155,-0.086992175,-0.169179393,-0.055331161,-0.138106271,-0.055869211,-0.107255461,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,-0.034102921,-0.097597259,-0.067848699,-0.183520548,-0.058034139,-0.26089885,-0.03733935,-0.319960334,-0.202708541,-0.121790125,-0.208553578,-0.238907682,-0.160620342,-0.262432023,-0.123978423,-0.255587636,-0.175237695,-0.103061595,-0.121211598,-0.222791124,-0.075236484,-0.204515022,-0.064339496,-0.170741031,-0.129467031,-0.093054537,-0.072591167,-0.197940822,-0.044317857,-0.17758694,-0.040666339,-0.147801502,-0.075324758,-0.091468122,-0.048292569,-0.183054493,-0.035980244,-0.197274243,-0.036832037,-0.198003628,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
0,0,-0.062674487,-0.07776096,-0.10561225,-0.149017801,-0.106462726,-0.215744643,-0.094120267,-0.262781789,-0.200414819,-0.125264097,-0.213852956,-0.226040045,-0.165049353,-0.253232133,-0.125720005,-0.258812635,-0.166149286,-0.102534381,-0.112953359,-0.235863315,-0.06452314,-0.290187075,-0.044005163,-0.322373284,-0.114237281,-0.08889171,-0.039144808,-0.199096122,-0.015647212,-0.175033567,-0.022670944,-0.139821665,-0.057933555,-0.08498689,0.001659609,-0.175334143,0.015385943,-0.155009926,0.001864019,-0.120943559,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
